State,City,Season,Crop,Area,avgTemp,Cloud Cover,Precipitation,vapPressure,Rainfall,Wet Day Freq,Production,pH,Soil Type,Water_Availability,AVG_Price
Gujarat,Ahmedabad,Kharif,Arhar/Tur,7166.0537,31.2394,52.4228,176.327,35.2654,540.9,12.6895,22000,6.34,Black,High,4121
Gujarat,Ahmedabad,Kharif,Bajra,103042.9101,31.2394,52.4228,176.327,35.2654,540.9,12.6895,437000,6.51,Red,High,931
Gujarat,Ahmedabad,Kharif,Dry chillies,1729.7371,31.2394,52.4228,176.327,35.2654,540.9,12.6895,7000,6.734005648,Loamy,High,7368
Gujarat,Ahmedabad,Kharif,Groundnut,1235.5265,31.2394,52.4228,176.327,35.2654,540.9,12.6895,6000,6.67,Black,High,2555
Gujarat,Ahmedabad,Kharif,Jowar,105019.7525,31.2394,52.4228,176.327,35.2654,540.9,12.6895,335000,6.08,Red,High,1420
Gujarat,Ahmedabad,Kharif,Moong(Green Gram),5683.4219,31.2394,52.4228,176.327,35.2654,540.9,12.6895,12000,6.08,Red,High,7000
Gujarat,Ahmedabad,Kharif,Moth,247.1053,31.2394,52.4228,176.327,35.2654,540.9,12.6895,1000,6.39,Black,High,6000
Gujarat,Ahmedabad,Kharif,Other Kharif pulses,988.4212,31.2394,52.4228,176.327,35.2654,540.9,12.6895,2000,7.47,Loamy,High,5500
Gujarat,Ahmedabad,Kharif,Urad,3212.3689,31.2394,52.4228,176.327,35.2654,540.9,12.6895,11000,6.75,Red,High,6500
Gujarat,Ahmedabad,Rabi,Gram,35583.1632,23.396,9.82025,12.808,3.202,18.6,2.8152,72000,7.17,Black,Low,1933
Gujarat,Ahmedabad,Rabi,Jowar,4942.106,23.396,9.82025,12.808,3.202,18.6,2.8152,17000,6.215109715,Red,Low,1420
Gujarat,Ahmedabad,Rabi,Rapeseed &Mustard,22239.477,23.396,9.82025,12.808,3.202,18.6,2.8152,94000,5.934136378,Red,Low,2163
Gujarat,Ahmedabad,Rabi,Wheat,237221.088,23.396,9.82025,12.808,3.202,18.6,2.8152,1214000,6.219469084,Red,Medium,1341
Gujarat,Ahmedabad,Summer,Bajra,30146.8466,30.25766667,20.10666667,3.023,1.007666667,94.1,1.0102,263000,7.23,Black,Low,931
Gujarat,Ahmedabad,Summer,Groundnut,247.1053,30.25766667,20.10666667,3.023,1.007666667,94.1,1.0102,1000,7.707595055,Black,Medium,2555
Gujarat,Ahmedabad,Whole Year,Banana,494.2106,28.3795,30.14291667,192.158,16.01316667,200.5,16.5149,143000,6.167855382,Red,High,1000
Gujarat,Ahmedabad,Whole Year,Castor seed,60046.5879,28.3795,30.14291667,192.158,16.01316667,200.5,16.5149,355000,7.07,Black,Medium,2474
Gujarat,Ahmedabad,Whole Year,Cotton(lint),382766.1097,28.3795,30.14291667,192.158,16.01316667,200.5,16.5149,1815000,6.42,Red,Medium,2964
Gujarat,Ahmedabad,Whole Year,Maize,1482.6318,28.3795,30.14291667,192.158,16.01316667,200.5,16.5149,10000,7.61,Loamy,High,956
